cluster_group,name,rank,dist_to_centroid,trajectory_id,cluster_label,release_year,release_month,lat_30,lon_30,lat_50,lon_50,lat_100,lon_100,lat_150,lon_150,lat_180,lon_180
0,A1,1,0.30752773041353276,1345938,49,1994,11,6.174743,-53.740234,9.383327,-59.9917,14.823095,-75.30888,18.603642,-84.3232,23.645412,-84.45028
0,A1,2,0.3084220303594746,7864640,49,2003,11,6.0900264,-54.23729,9.082792,-60.008358,13.9121,-73.300804,18.762278,-83.94043,23.601543,-85.26826
0,A1,3,0.32550203307470554,1326629,49,1994,11,6.300753,-54.394684,9.08945,-59.63563,14.177377,-73.20833,18.42546,-84.944595,24.517344,-85.65145
0,A1,4,0.32605620554453724,10005372,49,2006,10,6.3786554,-53.747684,9.509582,-59.612377,14.115501,-75.370125,19.903816,-84.94986,24.771217,-85.41197
0,A1,5,0.3356259892571434,12246513,49,2009,11,6.5325346,-54.05977,9.183567,-59.737774,13.452155,-73.66263,18.291586,-84.610855,24.139349,-84.45949
0,A1,6,0.34717741121464035,7861833,49,2003,11,6.0427947,-54.064102,9.024432,-59.88998,13.906711,-73.31601,19.038876,-84.49878,23.352814,-84.17565
0,A1,7,0.3546841035208077,5665180,49,2000,11,6.407547,-54.03751,8.991083,-59.835033,13.543584,-73.4839,19.17056,-85.249985,23.689053,-86.12701
0,A1,8,0.3557430586678657,2801686,49,1996,11,6.260112,-53.766964,9.891146,-60.216248,13.723312,-74.48229,18.798218,-85.14158,23.948307,-85.01583
0,A1,9,0.35804943729630756,4255832,11,1998,11,6.4327273,-53.79048,9.191903,-59.663166,14.569607,-73.018684,18.112429,-83.32341,23.12841,-85.072815
0,A1,10,0.37402942193485134,12241129,49,2009,11,6.493344,-53.988632,9.180034,-59.722664,15.259538,-75.89058,18.19209,-84.21018,23.70102,-84.95656
0,A1,11,0.3748167314085768,13716398,49,2011,11,6.8316054,-53.925346,9.147126,-59.275227,15.217972,-74.96147,18.310856,-83.67484,24.964079,-85.081505
0,A1,12,0.3749655236230699,1347471,49,1994,11,6.387394,-54.094383,9.703691,-59.99818,14.375204,-72.12163,18.609968,-84.31272,24.043686,-84.79971
0,A1,13,0.3776424640234775,3491307,49,1997,10,6.531143,-54.189365,9.646598,-60.24211,14.056711,-74.44554,18.156992,-83.59886,23.801407,-84.303116
0,A1,14,0.37863128720769357,545160,11,1993,10,6.045073,-53.455864,9.185462,-59.430862,14.181499,-73.59632,17.559122,-84.203125,24.279976,-85.38184
0,A1,15,0.38144806159480843,1343495,49,1994,11,6.3764424,-54.069027,9.704821,-60.019398,14.855261,-72.389244,19.333738,-84.84297,24.632614,-84.6907
0,A1,16,0.3850227167222709,546828,49,1993,10,6.29192,-53.827305,9.920827,-59.972054,14.212851,-73.549034,17.521563,-84.143135,24.23187,-85.77904
0,A1,17,0.3861174088797449,10000574,49,2006,10,6.3997846,-53.589355,9.58087,-59.687004,13.805642,-75.09213,20.333416,-84.29163,23.285069,-85.965546
0,A1,18,0.3867054663064653,10009799,49,2006,10,6.375726,-53.604828,9.467259,-59.549427,14.332486,-76.287155,18.58157,-84.761955,24.668522,-85.73658
0,A1,19,0.38699070248868966,10784970,49,2007,11,6.099638,-53.879368,9.600457,-59.576885,15.308994,-73.19585,17.581184,-83.81763,23.878204,-86.41624
0,A1,20,0.38742240643182546,12246458,49,2009,11,6.3076334,-53.858334,9.105763,-59.89596,14.067645,-74.03636,17.638739,-84.61783,24.819149,-84.9898
1,A2,1,0.30551036389613584,6133693,48,2001,6,6.0355015,-53.342964,9.088551,-58.173992,12.965811,-67.49202,16.553284,-75.44037,17.247538,-79.14487
1,A2,2,0.34696970008818523,6139899,48,2001,6,5.8886447,-53.412388,8.986154,-58.0379,12.970717,-67.4814,17.274305,-75.22134,16.745228,-77.9254
1,A2,3,0.3482978773541386,6385210,48,2001,10,6.5747285,-53.88109,8.630263,-57.547585,14.266691,-67.91637,16.495337,-75.5518,16.564747,-79.22248
1,A2,4,0.3529456103560567,6383573,48,2001,10,6.3503265,-53.5679,8.598294,-57.431393,14.345446,-67.882034,16.4532,-75.477615,16.52949,-79.43607
1,A2,5,0.36158969132877083,2775026,28,1996,10,6.315829,-54.00277,9.024423,-57.433037,13.24519,-69.275604,15.97019,-75.33032,17.698757,-77.695625
1,A2,6,0.36317988477981783,2771712,28,1996,10,6.3056507,-53.987217,9.033908,-57.412193,13.256918,-69.28545,15.941908,-75.356,17.713007,-77.69233
1,A2,7,0.36383842947257256,6383056,13,2001,10,6.178617,-53.32749,8.525334,-57.47845,14.161629,-67.9477,16.53304,-75.58107,16.622105,-79.4586
1,A2,8,0.36463430864481133,6330232,28,2001,10,6.333373,-53.11066,9.260411,-57.604115,13.347351,-67.64811,17.154102,-75.711685,16.706123,-79.441444
1,A2,9,0.36700271887566727,6135902,48,2001,6,6.287521,-53.925743,9.15947,-58.266006,12.952676,-67.514946,16.016619,-74.49854,17.145174,-76.70371
1,A2,10,0.36719418938546317,6336887,28,2001,10,6.812992,-53.4838,9.3018465,-57.604378,13.345846,-67.64881,17.151306,-75.71245,16.705864,-79.44784
1,A2,11,0.37075620778888163,6132662,28,2001,6,6.51423,-54.10702,9.284829,-58.273354,12.970068,-67.46945,16.549835,-75.44861,17.257053,-79.13159
1,A2,12,0.3716807298731113,5663446,28,2000,11,6.8805947,-54.15494,8.9640875,-58.042603,13.768764,-67.71224,15.720218,-74.93283,17.934252,-79.07441
1,A2,13,0.3738934011599957,6385856,48,2001,10,6.150106,-53.307728,8.496757,-57.544434,14.406221,-67.8301,16.51215,-75.26074,16.487225,-79.46604
1,A2,14,0.37452955427407947,6380013,48,2001,10,6.5406733,-53.993877,9.108096,-58.441963,14.400557,-67.83264,16.487774,-75.325935,16.562075,-79.46133
1,A2,15,0.3749519281273132,2757214,48,1996,10,6.076149,-53.56411,8.853835,-58.534454,13.901577,-68.4405,15.278453,-76.110054,17.020834,-78.16434
1,A2,16,0.3774006916052496,14371550,48,2012,10,5.8586683,-53.000343,9.68138,-57.572433,14.562559,-67.04727,16.935543,-74.62168,17.640743,-77.37761
1,A2,17,0.3796357942704234,6380573,48,2001,10,6.6783566,-54.157383,9.04243,-58.320004,14.212188,-67.94444,16.475588,-75.30982,16.716808,-79.50611
1,A2,18,0.38456121425525575,6385457,28,2001,10,6.6788845,-54.158897,9.044944,-58.321743,14.257121,-67.92687,16.526482,-75.54784,16.8048,-79.530334
1,A2,19,0.38505779383411187,6386795,28,2001,10,6.1974096,-53.42619,8.515622,-57.712563,14.479998,-67.78344,17.082561,-75.610535,18.14757,-78.43711
1,A2,20,0.3855449525842635,6384568,28,2001,10,6.674569,-54.001667,8.647308,-57.59242,14.152566,-67.96508,16.564192,-75.65064,16.405127,-79.31871
2,A3,1,0.20449942135662685,4211773,22,1998,10,6.2011847,-53.475876,8.982833,-58.92095,14.63394,-73.35092,11.432854,-80.77335,11.343139,-81.25788
2,A3,2,0.2048584178565484,4219650,22,1998,10,6.2159476,-53.521812,8.982808,-58.928307,14.638865,-73.35264,11.445597,-80.75031,11.475127,-81.260376
2,A3,3,0.2051784228489122,4216936,22,1998,10,6.2205157,-53.53691,8.980967,-58.929604,14.612162,-73.352135,11.877193,-81.05663,11.496542,-81.29421
2,A3,4,0.2058014228457059,4215519,54,1998,10,6.2286305,-53.561462,8.984038,-58.92953,14.635316,-73.35474,11.444555,-80.80108,11.281159,-81.20701
2,A3,5,0.20992715413288615,4219774,54,1998,10,6.2316704,-53.571598,8.980836,-58.93276,14.6273155,-73.35315,11.839142,-81.0712,11.596711,-81.35206
2,A3,6,0.21190140859213244,4213924,22,1998,10,6.186719,-53.43197,8.982573,-58.913387,14.607171,-73.34951,11.424696,-80.83798,11.239641,-81.11622
2,A3,7,0.21775951332572385,4215638,22,1998,10,6.1805353,-53.42353,8.974301,-58.907597,14.530999,-73.42959,11.932866,-81.1331,11.279032,-81.063545
2,A3,8,0.21876751738697545,4217679,22,1998,10,6.2248087,-53.560337,8.973409,-58.930344,14.542137,-73.37168,11.824856,-81.20816,11.541633,-81.00499
2,A3,9,0.2214461906258472,4211011,54,1998,10,6.2295685,-53.556232,8.989119,-58.933212,14.727237,-73.376,11.449419,-80.7385,11.564175,-81.257706
2,A3,10,0.2248447972522904,4215911,22,1998,10,6.2027383,-53.4685,8.991657,-58.919205,14.733636,-73.37408,11.433186,-80.80273,11.205891,-81.182434
2,A3,11,0.2251655051821637,4215639,22,1998,10,6.2234616,-53.534824,8.99057,-58.930275,14.737987,-73.37846,11.889685,-81.04116,11.588551,-81.373825
2,A3,12,0.22683397069616096,4215909,22,1998,10,6.1979823,-53.471127,8.979649,-58.91971,14.600993,-73.34547,12.049737,-81.16479,11.128452,-81.076866
2,A3,13,0.22946238905552563,4213847,54,1998,10,6.2183714,-53.5154,8.993716,-58.926594,14.786609,-73.38766,11.400674,-80.77933,11.2320595,-81.27013
2,A3,14,0.23104368518636617,4215849,22,1998,10,6.191378,-53.443657,8.985777,-58.908173,14.609657,-73.3405,11.964139,-81.26789,11.445207,-81.01554
2,A3,15,0.23495990498493227,4214424,22,1998,10,6.190607,-53.438896,8.986851,-58.91211,14.663478,-73.34738,12.106377,-81.11223,11.106707,-81.13973
2,A3,16,0.24682533636268184,4219403,22,1998,10,6.1758204,-53.379555,8.994032,-58.903835,14.725969,-73.36798,11.261685,-80.91817,11.088167,-81.16931
2,A3,17,0.24985799963971012,4216160,22,1998,10,6.1130395,-53.206947,8.979733,-58.86545,14.63199,-73.33919,11.827304,-81.119064,11.148895,-81.07894
2,A3,18,0.24989587645097072,4214401,54,1998,10,6.2295976,-53.554893,8.990648,-58.93252,14.761496,-73.38228,11.326734,-81.11682,11.303476,-82.283936
2,A3,19,0.2511954167179172,4214214,22,1998,10,6.194632,-53.447205,8.988735,-58.91662,14.697758,-73.35031,11.931355,-81.30043,11.632787,-80.969864
2,A3,20,0.2513452287081418,4200930,54,1998,10,6.055968,-53.935707,8.638671,-59.255344,13.887232,-71.83127,11.880445,-80.93498,11.383578,-81.89283
3,B1,1,0.24392721381207663,3891910,2,1998,5,6.5725603,-53.160934,10.262288,-57.22639,16.738455,-64.140366,19.65651,-66.60029,21.498646,-66.900024
3,B1,2,0.2687406513360254,3898864,2,1998,5,6.939375,-53.60815,10.187846,-57.294567,16.374971,-64.25928,20.35722,-66.682175,21.563318,-66.86088
3,B1,3,0.2831161244903611,5247860,2,2000,4,6.26572,-53.348137,10.929318,-57.934063,16.545086,-63.37847,20.041147,-65.58246,22.070765,-68.01334
3,B1,4,0.2951576922173792,2461913,2,1996,5,6.2937202,-52.96236,10.456804,-57.324436,16.636341,-63.358505,19.626871,-66.79932,22.186255,-67.20279
3,B1,5,0.3129640274008722,511714,46,1993,9,6.513014,-53.487198,10.096214,-57.677765,16.467018,-63.718555,19.128119,-66.42284,22.23407,-65.9674
3,B1,6,0.3147243557907524,5026385,2,1999,12,6.875946,-53.238995,10.140361,-58.168835,17.487106,-64.67327,19.688831,-66.59278,21.614416,-66.972595
3,B1,7,0.31608193169142906,5026099,2,1999,12,6.829918,-53.21489,10.145256,-58.159378,17.487137,-64.67102,19.657019,-66.59929,21.654604,-66.85279
