label,cells_union,core_over_union,mean_pairwise_IoU
0,316,0.873,0.936
1,344,0.858,0.924
2,205,0.873,0.933
3,335,0.875,0.936
4,352,0.79,0.891
5,419,0.745,0.867
6,323,0.78,0.886
7,262,0.798,0.895
8,117,0.556,0.752
9,149,0.403,0.655
10,111,0.171,0.427
11,568,0.782,0.888
12,176,0.619,0.795
13,154,0.792,0.89
