cluster_group,name,rank,dist_to_centroid,trajectory_id,cluster_label,release_year,release_month,lat_30,lon_30,lat_50,lon_50,lat_100,lon_100,lat_150,lon_150,lat_180,lon_180
0,A,1,0.35342180565367315,6135902,45,2001,6,6.287521,-53.925743,9.15947,-58.266006,12.952676,-67.514946,16.016619,-74.49854,17.145174,-76.70371
0,A,2,0.3682370717910919,7145975,45,2002,11,6.683794,-53.84987,9.220199,-58.421204,13.915751,-68.27872,16.59659,-72.92903,16.952328,-77.20079
0,A,3,0.3857392125290093,535945,13,1993,9,7.23806,-53.984077,9.50403,-58.19303,13.913471,-67.86032,17.193945,-74.070076,16.862352,-75.467094
0,A,4,0.3875561819854961,7145419,45,2002,11,6.768998,-53.941147,9.167525,-58.485817,13.792002,-68.33369,16.190979,-73.584206,16.708372,-76.99608
0,A,5,0.388398569988143,14986008,13,2011,11,6.12327,-53.509888,10.165754,-58.092262,14.055062,-66.83956,14.865619,-75.5919,16.896303,-76.9584
0,A,6,0.38901251254686425,2852812,13,1996,12,6.7561417,-53.640717,9.821744,-57.693916,14.692982,-67.91861,15.906136,-73.206116,16.456625,-74.82865
0,A,7,0.39098124678017376,14979604,13,2011,11,7.070745,-54.379505,9.168924,-57.54392,13.392611,-67.398056,16.073372,-73.38192,16.46858,-76.81209
0,A,8,0.4035898575981987,7143911,45,2002,11,6.722206,-53.942696,9.182105,-58.439995,13.902547,-68.30388,17.161915,-73.78608,17.224985,-76.385635
0,A,9,0.4048695607471434,6345105,13,2001,10,6.495575,-53.421265,9.631101,-57.81425,13.454546,-65.499214,15.435111,-73.35463,16.726236,-77.59154
0,A,10,0.4053959991222251,14989482,13,2011,11,6.169914,-53.590904,10.114893,-58.232117,14.57433,-67.24419,14.367589,-74.05075,16.661648,-76.64019
0,A,11,0.40777488806808043,7148593,45,2002,11,6.582881,-53.806187,9.181761,-58.447483,13.949694,-68.29861,17.211504,-73.92341,17.45496,-76.22606
0,A,12,0.4083644488715502,14986253,13,2011,11,6.5453787,-54.194744,10.20086,-58.14065,14.036961,-66.46421,15.411018,-75.530685,17.009338,-76.21453
0,A,13,0.4090828389590783,14987658,13,2011,11,6.489349,-54.104527,10.18625,-58.142876,14.037247,-66.4565,15.156339,-75.50697,16.947033,-77.421684
0,A,14,0.4092758017033637,14964219,13,2011,11,6.7004447,-53.843266,9.360813,-57.97807,14.091246,-66.356125,15.438195,-72.46588,18.478577,-75.869865
0,A,15,0.410214876725563,6381472,45,2001,10,6.374975,-53.79361,9.059491,-58.42266,14.824949,-67.02436,15.571345,-74.7121,16.518496,-75.73583
0,A,16,0.41100938534004033,14988931,13,2011,11,6.287727,-53.816902,10.09046,-58.221344,14.438258,-66.85398,15.449908,-73.130424,17.482742,-74.86527
0,A,17,0.41101335996434185,530336,45,1993,9,6.911653,-53.895454,9.407937,-58.491356,14.204658,-67.999344,17.25188,-74.82759,17.220491,-77.39967
0,A,18,0.4114318033703582,1299107,13,1994,10,7.1487765,-54.391388,9.497929,-57.99923,13.35023,-67.89401,16.458347,-73.93586,16.878668,-75.339676
0,A,19,0.41594064995047597,7144856,45,2002,11,6.8256283,-54.01726,9.119533,-58.482502,13.7193575,-68.300095,16.153437,-73.557846,16.430216,-76.97201
0,A,20,0.4159807030948533,2852238,13,1996,12,7.1631308,-53.88395,9.516246,-57.71085,14.86993,-67.888626,15.919642,-73.25993,16.546621,-74.84293
1,B1,1,0.3414528799877177,7218876,30,2002,12,5.251359,-52.119797,7.261613,-54.23397,10.460134,-57.447174,13.231457,-61.34744,15.112569,-63.4265
1,B1,2,0.391348116963607,9290515,30,2004,10,5.546088,-51.77423,7.980534,-53.958836,10.522769,-57.362324,13.643252,-62.748043,13.993564,-65.32296
1,B1,3,0.39213591477601983,4911025,30,1999,10,5.5333242,-51.96416,7.510756,-53.309994,10.112612,-57.428997,14.534795,-62.34196,13.95723,-65.53495
1,B1,4,0.41328074154319194,4910991,30,1999,10,5.2955017,-51.890766,7.550649,-53.183212,10.737726,-57.51411,13.851594,-61.770695,14.674748,-66.510155
1,B1,5,0.415447818894295,5002795,30,1999,12,5.561621,-52.100582,8.055058,-54.172176,10.000383,-57.902645,14.311495,-62.52834,14.99869,-65.515274
1,B1,6,0.41612613336697524,11866098,4,2008,5,5.7750382,-52.32834,8.134681,-54.063343,9.955232,-57.809616,12.468011,-61.889965,14.03037,-63.96653
1,B1,7,0.4188785967278283,4084507,4,1998,8,5.848483,-52.241215,7.646303,-54.370186,9.576381,-57.01241,13.698301,-62.628887,14.460196,-66.23304
1,B1,8,0.41903466810005346,9993983,30,2005,10,6.008531,-51.9801,7.409885,-53.901604,10.493955,-58.1104,13.026605,-60.794197,16.174131,-64.21937
1,B1,9,0.4208066563851878,9319565,19,2004,11,6.2794285,-52.16677,7.7902136,-53.52484,11.253385,-56.97758,13.090034,-62.39796,15.392989,-66.49825
1,B1,10,0.4218035303063105,1050984,30,1994,6,5.762723,-51.933,6.79052,-53.25238,10.684601,-56.276768,12.79072,-61.901096,14.293488,-64.89142
1,B1,11,0.4266390348419496,9254534,19,2004,10,5.775311,-52.46584,8.138525,-53.264877,9.922806,-57.232883,14.204674,-61.644974,15.820922,-64.53805
1,B1,12,0.4278968103796782,6249236,19,2001,8,6.4816656,-52.39069,7.604441,-53.56854,10.971113,-57.50445,13.714805,-60.361446,16.031214,-64.89384
1,B1,13,0.4302846012560779,14196041,19,2010,10,6.134129,-52.126198,7.7026224,-53.62514,9.068514,-57.97992,13.513748,-62.787956,15.326391,-64.25698
1,B1,14,0.43098161917402095,9295174,30,2004,10,5.2840014,-51.642097,8.08605,-54.101906,10.433466,-57.024582,13.789879,-62.68064,14.674503,-65.58784
1,B1,15,0.4363769760367477,10013469,30,2005,10,5.3709383,-52.18619,7.1746674,-53.90919,11.137595,-58.527386,14.132117,-63.46379,15.11952,-65.288246
1,B1,16,0.43638200601750615,9310385,30,2004,11,6.298871,-51.959244,7.5097957,-53.95699,11.390602,-56.6897,14.0756035,-63.12232,15.391574,-65.43797
1,B1,17,0.44409705751714773,8537969,19,2003,10,6.351029,-52.11378,7.7298713,-53.477097,9.034129,-57.382385,12.773803,-62.725113,15.171594,-64.045395
1,B1,18,0.44720479167720906,6245479,4,2001,8,6.4777594,-52.679153,7.650777,-54.27982,9.647761,-57.474777,14.104776,-60.98145,15.454871,-64.77429
1,B1,19,0.4482944077200704,4912545,30,1999,10,5.3858223,-52.078808,7.977627,-54.117832,10.672086,-58.1879,13.810897,-61.74304,14.75815,-66.63968
1,B1,20,0.45007983416516145,10000738,4,2005,10,6.503422,-52.456146,7.518022,-54.083664,10.842799,-58.227303,13.910043,-61.890907,15.635432,-65.93605
2,B2,1,0.25384425302914276,16148359,18,2013,6,6.860288,-53.749878,10.718515,-56.833786,15.274655,-61.820908,18.093866,-64.544624,20.319792,-66.241516
2,B2,2,0.2632469774739653,1533854,10,1995,2,6.9311514,-53.256508,10.617903,-57.361137,15.758246,-62.256046,17.831232,-65.33532,20.01667,-67.67932
2,B2,3,0.2987940028919124,16143825,18,2013,6,6.723893,-53.473927,10.859692,-57.381596,15.273795,-62.40254,17.983189,-66.26127,19.834812,-66.28806
2,B2,4,0.30000010176114855,16143524,18,2013,6,6.7273593,-53.485146,10.861897,-57.38205,15.266266,-62.39262,17.983047,-66.352455,19.886312,-66.3157
2,B2,5,0.3010006376576938,16143947,18,2013,6,6.722852,-53.471527,10.859226,-57.383076,15.267645,-62.393818,17.982933,-66.36935,19.905167,-66.32755
2,B2,6,0.30248440484671024,16158086,18,2013,6,7.848162,-53.73778,10.938412,-57.054844,15.237349,-62.18452,18.403585,-65.78853,20.169764,-66.66911
2,B2,7,0.3027676115739589,6835933,18,2002,6,7.0035324,-53.64417,10.755041,-56.673138,15.427343,-61.641632,17.71969,-65.87698,19.933374,-67.95642
2,B2,8,0.3036377147726081,16149400,18,2013,6,6.8327174,-53.608837,10.685024,-56.82303,15.039565,-62.26242,17.983076,-67.09529,20.439587,-67.22471
2,B2,9,0.30392495540185144,16145351,18,2013,6,6.7266593,-53.485287,10.8621645,-57.384674,15.250402,-62.371273,17.98252,-66.468796,19.964527,-66.36379
2,B2,10,0.30545548975778214,16144354,18,2013,6,6.726989,-53.485996,10.862265,-57.384216,15.257641,-62.380764,17.983475,-66.28055,19.721691,-66.23391
2,B2,11,0.30564498085535996,16148713,18,2013,6,6.727174,-53.484997,10.861891,-57.381912,15.267193,-62.393784,17.983046,-66.34392,19.744436,-66.24229
2,B2,12,0.305886253819225,16148979,18,2013,6,6.7231483,-53.47382,10.860047,-57.38531,15.247612,-62.366486,17.98286,-66.53219,20.061426,-66.43325
2,B2,13,0.30606336656125605,16146070,18,2013,6,6.726916,-53.486004,10.862384,-57.38499,15.246587,-62.36534,17.982859,-66.54181,20.025396,-66.406425
2,B2,14,0.3062648809287552,16149035,18,2013,6,6.7235866,-53.474697,10.859887,-57.38299,15.264293,-62.389637,17.983051,-66.36399,19.767488,-66.253815
2,B2,15,0.30642012479543984,16143717,18,2013,6,6.723544,-53.49443,10.866987,-57.41384,15.001662,-61.994778,18.631308,-65.60114,19.501146,-67.26913
2,B2,16,0.30709034402654867,16140299,18,2013,6,6.7259927,-53.504044,10.868835,-57.41444,14.998495,-61.970997,18.610378,-65.61834,19.495348,-67.235565
2,B2,17,0.30732948000289323,16143163,18,2013,6,6.7274146,-53.489025,10.862885,-57.385635,15.244489,-62.362858,17.982851,-66.55692,20.27217,-66.61066
2,B2,18,0.30772527891803164,16142818,18,2013,6,6.7234697,-53.475857,10.860428,-57.38596,15.246187,-62.36452,17.98284,-66.55339,20.008871,-66.39481
2,B2,19,0.30798743207572715,16144085,18,2013,6,6.7250214,-53.480377,10.861302,-57.385452,15.245764,-62.363956,17.982883,-66.562744,20.272259,-66.61075
2,B2,20,0.30840274101397747,16147071,18,2013,6,6.726849,-53.485767,10.862349,-57.384945,15.246833,-62.365795,17.982855,-66.54625,19.929302,-66.34216
3,C,1,0.27714636065503023,6303540,27,2001,9,8.064181,-52.966553,9.428257,-51.563038,10.637098,-50.813828,11.999698,-54.4294,13.031908,-55.234688
3,C,2,0.28527179291845556,1095032,27,1994,7,7.9401894,-52.740494,9.302123,-50.97868,11.741022,-50.787525,12.161066,-53.000412,12.841625,-54.902443
3,C,3,0.299336303197831,9154346,27,2004,8,7.8872504,-52.840435,9.741645,-51.229122,11.007517,-51.03057,12.904964,-54.906525,13.600729,-55.0938
3,C,4,0.3120909816573764,1085401,27,1994,7,8.868521,-52.45374,8.750457,-51.336857,10.757792,-50.240185,12.493629,-52.79762,13.125357,-54.451313
3,C,5,0.3234325141685981,5653513,27,2000,10,9.063288,-53.036163,9.598651,-51.155663,11.048614,-50.234886,12.840498,-53.47296,14.486888,-54.815254
3,C,6,0.3393201699702575,1097668,27,1994,7,7.8607926,-52.530132,9.370134,-50.77928,11.426692,-50.631145,13.038577,-53.331383,12.687934,-54.771942
3,C,7,0.34024187133644745,1094051,27,1994,7,7.8126345,-52.618137,9.352728,-50.896114,11.617439,-50.893326,13.408654,-53.69725,12.721948,-55.28457
3,C,8,0.35631292550510646,4702547,27,1999,7,8.961442,-52.66046,9.408527,-51.12526,10.915914,-49.431107,12.76296,-53.08307,14.151208,-54.14649
3,C,9,0.3569229984814721,1096530,27,1994,7,7.8112264,-52.664825,9.3309355,-50.927174,11.6359005,-50.764603,11.865324,-52.870102,12.682056,-54.111343
3,C,10,0.3580937585373302,12102560,27,2008,8,7.5560045,-52.90347,9.483157,-51.161438,11.398883,-50.978443,11.864905,-53.473946,13.791866,-56.567352
3,C,11,0.36220796356559554,5474829,27,2000,7,9.096705,-53.123283,9.492931,-51.115536,10.52647,-50.63762,12.886777,-54.051212,14.00861,-56.59554
3,C,12,0.3662400080304903,1083222,27,1994,7,8.789463,-52.42859,8.789813,-51.240696,11.059039,-50.161068,12.175308,-53.042545,12.458075,-54.356373
3,C,13,0.3677233270077606,8471075,27,2003,9,9.418752,-53.086273,9.127315,-51.381855,10.863445,-51.058567,13.239007,-52.460747,14.482313,-55.11291
3,C,14,0.3747668160631084,4852196,27,1999,9,8.224143,-52.98247,9.015201,-51.813374,11.070834,-50.758022,13.247643,-54.699375,14.346533,-55.640614
3,C,15,0.38307461486721645,4049888,27,1998,8,9.396035,-53.371613,8.967528,-51.18664,11.536182,-50.5868,13.270869,-53.98647,13.407972,-55.56862
3,C,16,0.38651543125991267,4010411,27,1998,7,8.503065,-53.52631,9.435986,-51.1573,10.628227,-49.46217,12.855241,-53.175232,13.107811,-54.525608
3,C,17,0.3883934972058465,12109630,27,2008,8,7.5770373,-52.91485,9.4927435,-51.138374,11.458434,-51.00192,11.214762,-53.34787,12.717024,-55.66568
3,C,18,0.39303349587216996,4851955,27,1999,9,8.298648,-52.974655,9.017416,-51.816257,11.069371,-50.756706,13.229715,-54.693325,14.485814,-55.84633
3,C,19,0.3931318207895514,475481,27,1993,8,7.63115,-53.138985,9.83797,-50.925343,10.977404,-51.50252,12.452433,-53.58398,12.9155035,-55.53457
3,C,20,0.3946204796307432,9155396,27,2004,8,7.889804,-52.83848,9.725449,-51.18782,10.789575,-50.53713,12.352852,-54.199272,14.861047,-54.304596
4,D,1,0.20690137536972694,4323508,14,1998,12,3.749915,-51.085487,4.872267,-52.34352,5.7934933,-54.034576,5.7908688,-55.942757,6.484962,-57.680824
4,D,2,0.21005998874465204,4316413,14,1998,12,3.6202374,-50.984764,4.870774,-52.373337,5.7937536,-54.0335,5.8189316,-56.04068,6.416342,-57.537373
4,D,3,0.21155487459591454,1400743,14,1994,12,3.84403,-51.06451,4.8701477,-52.37045,5.7886763,-54.039368,5.827347,-56.039757,6.5377192,-57.733295
4,D,4,0.2118163696197428,2101142,14,1995,11,3.707594,-50.978664,4.872799,-52.372166,5.782584,-53.94277,5.790683,-56.018482,6.2717113,-57.28336
4,D,5,0.21367764764900166,4321833,14,1998,12,3.730145,-51.05807,4.930167,-52.374714,5.785072,-54.032963,5.786543,-55.944603,6.3142924,-57.49467
4,D,6,0.21371024099007568,5737460,14,2000,12,3.8015332,-50.996906,4.8983135,-52.373432,5.7818813,-53.871166,5.840683,-56.03289,6.275038,-57.290894
4,D,7,0.2145544919610764,5736327,14,2000,12,3.5561085,-51.016834,4.8760443,-52.3661,5.699153,-53.698986,5.7915688,-55.99195,6.281824,-57.33297
4,D,8,0.21492931958305725,4317991,14,1998,12,3.545692,-50.967083,4.88182,-52.367268,5.8137007,-54.041637,5.7836914,-56.037285,6.2844615,-57.26712
4,D,9,0.21542516008615015,5752637,14,2000,12,3.824926,-51.029793,4.873192,-52.37217,5.7036085,-53.78788,5.844216,-56.035324,6.446459,-57.641964
