label,name,pct,peak_month,mean_transit_10N,mean_lat_last,mean_lon_last
0,A,4.6,Nov,55.6,16.09,-80.14
1,B,21.7,Oct,58.4,15.73,-66.38
2,C,6.3,Aug,45.4,13.78,-59.71
3,D,3.1,Jul,74.4,11.37,-45.94
4,E,39.5,Mar,173.6,1.54,-49.82
5,F,24.8,Jan,156.0,5.56,-54.0
