label,name,pct,peak_month,mean_transit_10N,mean_lat_100,mean_lon_100
0,A,2.9,Jul,76.9,9.41,-44.46
1,B,64.4,Mar,149.7,2.8,-50.92
2,C,1.8,Apr,87.3,12.05,-60.52
3,D,14.3,Sep,52.8,11.68,-57.2
4,E,4.0,Nov,55.2,14.71,-73.55
5,F,12.6,Oct,47.5,14.76,-64.36
